machine_id,timestamp,temperature,speed,vibration,status
1,2026-03-10T08:00:00Z,57,56.3,0.3,maintenance
1,2026-03-10T08:10:00Z,60.2,52.98,0.39,available
1,2026-03-10T08:20:00Z,58.96,50.61,0.3,available
1,2026-03-10T08:30:00Z,59.68,50.61,0.439,available
1,2026-03-10T08:40:00Z,60.61,54.79,0.368,available
1,2026-03-10T08:50:00Z,63.34,49.47,0.327,available
1,2026-03-10T09:00:00Z,63.85,52.06,0.345,busy
1,2026-03-10T09:10:00Z,64.82,46.58,0.491,available
1,2026-03-10T09:20:00Z,64.83,47.58,0.407,available
1,2026-03-10T09:30:00Z,64.48,45.17,0.352,available
1,2026-03-10T09:40:00Z,63.37,43.2,0.446,available
1,2026-03-10T09:50:00Z,63.39,39.59,0.468,available
1,2026-03-10T10:00:00Z,64.06,38.88,0.49,busy
1,2026-03-10T10:10:00Z,61.97,36.41,0.36,available
1,2026-03-10T10:20:00Z,61.74,39.51,0.349,available
1,2026-03-10T10:30:00Z,61.59,33.2,0.426,maintenance
1,2026-03-10T10:40:00Z,61.74,35.03,0.503,available
1,2026-03-10T10:50:00Z,60.02,31.32,0.398,available
1,2026-03-10T11:00:00Z,60.15,33.7,0.362,busy
1,2026-03-10T11:10:00Z,58.65,31.58,0.405,available
1,2026-03-10T11:20:00Z,58.16,29.58,0.358,available
1,2026-03-10T11:30:00Z,56,31.92,0.37,available
1,2026-03-10T11:40:00Z,54.89,33,0.361,available
1,2026-03-10T11:50:00Z,52.87,29.62,0.411,available
1,2026-03-10T12:00:00Z,52.16,30.99,0.281,busy
1,2026-03-10T12:10:00Z,51.77,29.59,0.401,available
1,2026-03-10T12:20:00Z,52.93,33.71,0.391,available
1,2026-03-10T12:30:00Z,52.33,30.84,0.361,available
1,2026-03-10T12:40:00Z,51.31,33.86,0.252,available
1,2026-03-10T12:50:00Z,52.44,35.63,0.343,available
1,2026-03-10T13:00:00Z,51.55,39.23,0.244,maintenance
1,2026-03-10T13:10:00Z,51.11,37.54,0.216,available
1,2026-03-10T13:20:00Z,53.12,43.21,0.329,available
1,2026-03-10T13:30:00Z,52.27,44.52,0.313,available
1,2026-03-10T13:40:00Z,55.33,43.63,0.268,available
1,2026-03-10T13:50:00Z,54.69,47.9,0.245,available
1,2026-03-10T14:00:00Z,57.32,49.51,0.252,busy
1,2026-03-10T14:10:00Z,58.3,49.01,0.34,available
1,2026-03-10T14:20:00Z,59.8,50.28,0.24,available
1,2026-03-10T14:30:00Z,58.59,51.09,0.351,available
1,2026-03-10T14:40:00Z,60.34,53.71,0.353,available
1,2026-03-10T14:50:00Z,61.84,53.33,0.337,available
1,2026-03-10T15:00:00Z,61.84,50.52,0.241,busy
1,2026-03-10T15:10:00Z,63.54,53.98,0.297,available
1,2026-03-10T15:20:00Z,63.4,52.3,0.214,available
1,2026-03-10T15:30:00Z,64.83,54.67,0.231,maintenance
1,2026-03-10T15:40:00Z,64.8,55.6,0.269,available
1,2026-03-10T15:50:00Z,64.2,50.4,0.238,available
1,2026-03-10T16:00:00Z,63.44,49.28,0.318,busy
1,2026-03-10T16:10:00Z,64.81,50.65,0.257,available
1,2026-03-10T16:20:00Z,62.72,50.33,0.417,available
1,2026-03-10T16:30:00Z,63.39,50.76,0.347,available
1,2026-03-10T16:40:00Z,61.53,49.95,0.357,available
1,2026-03-10T16:50:00Z,60.75,43.95,0.347,available
1,2026-03-10T17:00:00Z,61.67,43.27,0.436,busy
1,2026-03-10T17:10:00Z,59.13,44.86,0.355,available
1,2026-03-10T17:20:00Z,58.55,42.05,0.413,available
1,2026-03-10T17:30:00Z,57.55,38.38,0.36,available
1,2026-03-10T17:40:00Z,57.66,39.68,0.406,available
1,2026-03-10T17:50:00Z,56.72,37.78,0.351,available
2,2026-03-10T08:00:00Z,46.6,1680,0.68,offline
2,2026-03-10T08:10:00Z,47.29,1734.64,0.741,available
2,2026-03-10T08:20:00Z,47.95,1661.59,0.742,available
2,2026-03-10T08:30:00Z,49.22,1543.89,0.582,available
2,2026-03-10T08:40:00Z,50.69,1623.63,0.621,available
2,2026-03-10T08:50:00Z,50.31,1621.91,0.808,busy
2,2026-03-10T09:00:00Z,49.86,1532.9,0.693,available
2,2026-03-10T09:10:00Z,50.33,1732.74,0.816,available
2,2026-03-10T09:20:00Z,52.1,1583.66,0.816,available
2,2026-03-10T09:30:00Z,51.17,1610.87,0.834,available
2,2026-03-10T09:40:00Z,50.95,1507.61,0.858,busy
2,2026-03-10T09:50:00Z,49.64,1500.14,0.74,available
2,2026-03-10T10:00:00Z,48.28,1427.75,0.728,available
2,2026-03-10T10:10:00Z,48.08,1527.72,0.734,available
2,2026-03-10T10:20:00Z,47.37,1345.35,0.816,available
2,2026-03-10T10:30:00Z,47.81,1490.94,0.816,busy
2,2026-03-10T10:40:00Z,46.81,1264.79,0.673,available
2,2026-03-10T10:50:00Z,43.82,1510.19,0.748,available
2,2026-03-10T11:00:00Z,44.59,1296.45,0.671,available
2,2026-03-10T11:10:00Z,43.04,1208.83,0.582,available
2,2026-03-10T11:20:00Z,42.62,1238.61,0.642,offline
2,2026-03-10T11:30:00Z,42.54,1340.03,0.551,available
2,2026-03-10T11:40:00Z,42.34,1283.33,0.65,available
2,2026-03-10T11:50:00Z,41.73,1204.71,0.698,available
2,2026-03-10T12:00:00Z,40.02,1348.35,0.558,available
2,2026-03-10T12:10:00Z,40.71,1217.4,0.587,busy
2,2026-03-10T12:20:00Z,42.58,1246.99,0.629,available
2,2026-03-10T12:30:00Z,42.14,1105.2,0.462,available
2,2026-03-10T12:40:00Z,42.84,1169.1,0.456,available
2,2026-03-10T12:50:00Z,42.68,1090.71,0.584,available
2,2026-03-10T13:00:00Z,44.4,1203.03,0.393,busy
2,2026-03-10T13:10:00Z,44.38,1328.01,0.456,available
2,2026-03-10T13:20:00Z,47.28,1124.58,0.411,available
2,2026-03-10T13:30:00Z,47.56,1215.64,0.48,available
2,2026-03-10T13:40:00Z,49.37,1320.04,0.442,available
2,2026-03-10T13:50:00Z,49.38,1410.62,0.436,busy
2,2026-03-10T14:00:00Z,51.17,1328.2,0.564,available
2,2026-03-10T14:10:00Z,51.39,1187.55,0.584,available
2,2026-03-10T14:20:00Z,52.04,1249.43,0.427,available
2,2026-03-10T14:30:00Z,51.19,1452.59,0.602,available
2,2026-03-10T14:40:00Z,50.05,1283.76,0.469,offline
2,2026-03-10T14:50:00Z,50.2,1529.64,0.628,available
2,2026-03-10T15:00:00Z,49.87,1398.94,0.668,available
2,2026-03-10T15:10:00Z,48.67,1472.38,0.539,available
2,2026-03-10T15:20:00Z,48.32,1495.63,0.57,available
2,2026-03-10T15:30:00Z,48.26,1468.41,0.612,busy
2,2026-03-10T15:40:00Z,46.21,1417.41,0.563,available
2,2026-03-10T15:50:00Z,45.92,1421.37,0.663,available
2,2026-03-10T16:00:00Z,44.23,1609,0.801,available
2,2026-03-10T16:10:00Z,44.17,1498.05,0.679,available
2,2026-03-10T16:20:00Z,42.48,1487.29,0.784,busy
2,2026-03-10T16:30:00Z,42.8,1563.5,0.756,available
2,2026-03-10T16:40:00Z,40.96,1535.49,0.767,available
2,2026-03-10T16:50:00Z,40.99,1633.12,0.684,available
2,2026-03-10T17:00:00Z,41.6,1708.24,0.719,available
2,2026-03-10T17:10:00Z,41.7,1641.75,0.82,busy
2,2026-03-10T17:20:00Z,41,1548.59,0.798,available
2,2026-03-10T17:30:00Z,40.7,1747.72,0.784,available
2,2026-03-10T17:40:00Z,40.69,1771.15,0.656,available
2,2026-03-10T17:50:00Z,43.43,1646.89,0.726,available
